subject,gpt_layer,WER_zscore,BLEU_zscore,METEOR_zscore,BERT_zscore
S1,6,1.812298540769428,0.8734662734519993,0.40060171725603017,1.4501889
S1,7,1.4222152242877701,1.4955518437971287,1.4819876365632476,4.344699
S1,8,2.730231726284861,1.3098340934803083,1.3042017582369587,2.582328
S1,9,1.704767221094964,1.7702071204224945,1.0183319350579307,2.8672938
S1,10,0.6803876542976238,1.1852455224633727,1.8014219498921065,1.7755879
S2,6,0.10988071649593963,0.6968276875548669,1.0133856793506193,0.736247
S2,7,0.29408189453553985,0.41434603641683204,0.3070676363492255,1.2207142
S2,8,1.0150203341075221,0.9730819253921409,0.7143191867561461,2.9424655
S2,9,-0.7996901484253498,0.08290739688998222,-0.4150360570786889,0.173323
S2,10,0.7703929060339342,0.8326914924736766,0.6389125998065727,1.8706119
S3,6,0.47305825948050567,1.0221717391809448,0.3564877105688458,1.6871351
S3,7,1.4050017324692827,1.0486692982959231,0.5683414420179715,2.587084
S3,8,0.957809275013877,1.3035189066494424,1.0816033771263933,2.4715638
S3,9,-0.3565112550428157,0.7589570448953514,-0.18576756446021958,1.5767637
S3,10,0.35421752561053055,-0.08898554182394783,-0.9414500841211131,2.0419521
